id;title;price_value;price_currency;price_uah;price_raw;location_raw;image_url;ad_url;created_at
907614079;JCB 3cx екскаватор навантажувач 2009р;46500;EUR;2301643;None;{'city': {'id': 72, 'name': 'Луцьк', 'normalized_name': 'lutsk'}, 'region': {'id': 22, 'name': 'Волинська область', 'normalized_name': 'vol'}};"https://ireland.apollo.olxcdn.com:443/v1/files/0wu2agsguz4r3-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/jcb-3cx-ekskavator-navantazhuvach-2009r-IDZqfSL.html;2025-12-17T12:18:18.495441+00:00
887467772;Minilift 08 кран маніпулятор;3450;USD;145694;None;{'city': {'id': 137, 'name': 'Калинівка', 'normalized_name': 'kalinovka'}, 'region': {'id': 24, 'name': 'Вінницька область', 'normalized_name': 'vin'}};"https://ireland.apollo.olxcdn.com:443/v1/files/whu1rdz161yi-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/minilift-08-kran-manpulyator-IDY3IUk.html;2025-12-17T12:18:18.489587+00:00
871216518;ПЛЕНКОУКЛАДЧИК формирователь парников;120000;UAH;120000;None;{'city': {'id': 194, 'name': 'Запоріжжя', 'normalized_name': 'zaporozhe'}, 'district': {'id': 43, 'name': 'Комунарський'}, 'region': {'id': 17, 'name': 'Запорізька область', 'normalized_name': 'zap'}};"https://ireland.apollo.olxcdn.com:443/v1/files/0cdx3ec54xam-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/plenkoukladchik-formirovatel-parnikov-IDVXxdk.html;2025-12-17T12:18:18.483307+00:00
908999065;Продам трактор Т 40;3500;USD;147806;None;{'city': {'id': 645, 'name': 'Млинів', 'normalized_name': 'mlinov'}, 'region': {'id': 14, 'name': 'Рівненська область', 'normalized_name': 'rov'}};"https://ireland.apollo.olxcdn.com:443/v1/files/p65ux1bsjj0a1-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodam-traktor-t-40-IDZv4bf.html;2025-12-17T12:18:18.476559+00:00
909286191;Ваз 2114  не фарбована;1700;USD;71791;None;{'city': {'id': 69, 'name': 'Кропивницький', 'normalized_name': 'kropivnitskiy'}, 'district': {'id': 107, 'name': 'Фортечний'}, 'region': {'id': 7, 'name': 'Кіровоградська область', 'normalized_name': 'kir'}};"https://ireland.apollo.olxcdn.com:443/v1/files/ow42va2l23ve3-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/vaz-2114-ne-farbovana-IDZxgSj.html;2025-12-17T12:18:18.469981+00:00
909057567;Транспортер т5 груз-пас;7000;USD;295612;None;{'city': {'id': 275, 'name': 'Зміїв', 'normalized_name': 'zmiev'}, 'region': {'id': 8, 'name': 'Харківська область', 'normalized_name': 'kha'}};"https://ireland.apollo.olxcdn.com:443/v1/files/mndhvcp6odhb-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/transporter-t5-gruz-pas-IDZvjoP.html;2025-12-17T12:18:18.461652+00:00
907301878;MITSUBISHI mt-200 Японський Трактор;7300;USD;308281;None;{'city': {'id': 362, 'name': 'Тернопіль', 'normalized_name': 'ternopol'}, 'region': {'id': 11, 'name': 'Тернопільська область', 'normalized_name': 'ter'}};"https://ireland.apollo.olxcdn.com:443/v1/files/93gbh7ec12842-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/mitsubishi-mt-200-yaponskiy-traktor-IDZoVFg.html;2025-12-17T12:18:18.455752+00:00
908906627;Продаю строчно омега А;750;USD;31672;None;{'city': {'id': 106, 'name': 'Миколаїв', 'normalized_name': 'nikolaev_106'}, 'district': {'id': 139, 'name': 'Заводський'}, 'region': {'id': 19, 'name': 'Миколаївська область', 'normalized_name': 'nik'}};"https://ireland.apollo.olxcdn.com:443/v1/files/xnopadut6itf1-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodayu-strochno-omega-a-IDZwG8j.html;2025-12-17T12:18:18.449480+00:00
909203442;Продам гольф 7 полный привод тди;11500;USD;485649;None;{'city': {'id': 340, 'name': 'Кривий Ріг', 'normalized_name': 'krivoyrog'}, 'district': {'id': 97, 'name': 'Покровський'}, 'region': {'id': 21, 'name': 'Дніпропетровська область', 'normalized_name': 'dnp'}};"https://ireland.apollo.olxcdn.com:443/v1/files/2k89pvtkghu61-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodam-golf-7-polnyy-privod-tdi-IDZvWlE.html;2025-12-17T12:18:18.443420+00:00
908098148;Продам ваз 2104.;850;USD;35895;None;{'city': {'id': 194, 'name': 'Запоріжжя', 'normalized_name': 'zaporozhe'}, 'district': {'id': 39, 'name': 'Олександрiвський'}, 'region': {'id': 17, 'name': 'Запорізька область', 'normalized_name': 'zap'}};"https://ireland.apollo.olxcdn.com:443/v1/files/iif43p74u1ib1-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodam-vaz-2104-IDZshOk.html;2025-12-17T12:18:18.436002+00:00
